Symbol,HOLDINGS,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
CAI,Caris Life Sciences Inc,<0.01%,Biotechnology,US,---,"$1,610,237.75 ","53,231"
DOMH,Dominari Holdings Inc,<0.01%,Investment Banking & Brokerage,US,---,"$1,604,481.18 ","226,302"
CBNA,Chain Bridge Bancorp Inc,<0.01%,Regional Banks,US,---,"$1,595,456.58 ","48,746"
HQI,HireQuest Inc,<0.01%,Human Resource & Employment Services,US,---,"$1,588,204.28 ","165,094"
EP,Empire Petroleum Corp,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,574,736.36 ","348,393"
SELF,Global Self Storage Inc,<0.01%,Self-Storage REITs,US,---,"$1,573,504.72 ","312,824"
PSQH,PSQ Holdings Inc,<0.01%,Interactive Media & Services,US,---,"$1,563,168.83 ","818,413"
LCUT,Lifetime Brands Inc,<0.01%,Housewares & Specialties,US,---,"$1,561,951.35 ","403,605"
SRTS,Sensus Healthcare Inc,<0.01%,Health Care Equipment,US,---,"$1,551,571.34 ","494,131"
RBKB,Rhinebeck Bancorp Inc,<0.01%,Regional Banks,US,---,"$1,547,493.28 ","136,223"
FGBI,First Guaranty Bancshares Inc,<0.01%,Regional Banks,US,---,"$1,538,123.72 ","191,786"
AWRE,Aware Inc/MA,<0.01%,Application Software,US,---,"$1,521,334.19 ","631,259"
IZEA,IZEA Worldwide Inc,<0.01%,Interactive Media & Services,US,---,"$1,517,614.92 ","407,961"
PETS,PetMed Express Inc,<0.01%,Other Specialty Retail,US,---,"$1,513,015.45 ","602,795"
PRPL,Purple Innovation Inc,<0.01%,Home Furnishings,US,---,"$1,504,701.93 ","1,610,685"
VRA,Vera Bradley Inc,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$1,499,112.27 ","745,827"
AIRG,Airgain Inc,<0.01%,Electronic Components,US,---,"$1,498,467.46 ","345,269"
PZG,Paramount Gold Nevada Corp,<0.01%,Gold,US,---,"$1,497,416.76 ","1,217,412"
MESA,Mesa Air Group Inc,<0.01%,Passenger Airlines,US,---,"$1,495,851.50 ","1,150,655"
CULP,Culp Inc,<0.01%,Textiles,US,---,"$1,494,501.40 ","335,090"
GLSI,Greenwich Lifesciences Inc,<0.01%,Biotechnology,US,---,"$1,494,261.15 ","150,177"
CSBR,Champions Oncology Inc,<0.01%,Life Sciences Tools & Services,US,---,"$1,493,756.60 ","230,696"
TLYS,Tilly's Inc,<0.01%,Apparel Retail,US,---,"$1,489,553.04 ","723,084"
CLPR,Clipper Realty Inc,<0.01%,Multi-Family Residential REITs,US,---,"$1,483,189.40 ","390,313"
GCTS,GCT Semiconductor Holding Inc,<0.01%,Semiconductors,US,---,"$1,481,484.72 ","974,661"
ATNM,Actinium Pharmaceuticals Inc,<0.01%,Biotechnology,US,---,"$1,469,691.20 ","918,557"
CIX,CompX International Inc,<0.01%,Office Services & Supplies,US,---,"$1,465,729.20 ","62,638"
KPTI,Karyopharm Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,459,871.88 ","223,222"
VERU,Veru Inc,<0.01%,Pharmaceuticals,US,---,"$1,446,432.00 ","380,640"
NAUT,Nautilus Biotechnology Inc,<0.01%,Life Sciences Tools & Services,US,---,"$1,442,889.80 ","1,707,764"
CPSH,CPS Technologies Corp,<0.01%,Electronic Components,US,---,"$1,441,805.19 ","403,867"
TACT,TransAct Technologies Inc,<0.01%,"Technology Hardware, Storage & Peripherals",US,---,"$1,439,763.38 ","265,639"
LOAN,Manhattan Bridge Capital Inc,<0.01%,Mortgage REITs,US,---,"$1,436,971.92 ","260,321"
TISI,Team Inc,<0.01%,Environmental & Facilities Services,US,---,"$1,432,943.08 ","86,426"
LPSN,LivePerson Inc,<0.01%,Application Software,US,---,"$1,420,228.17 ","2,434,816"
FTCI,FTC Solar Inc,<0.01%,Electrical Components & Equipment,US,---,"$1,411,818.90 ","200,258"
NL,NL Industries Inc,<0.01%,Office Services & Supplies,US,---,"$1,408,651.35 ","229,049"
OKUR,OnKure Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,402,942.75 ","510,161"
FGEN,FibroGen Inc,<0.01%,Biotechnology,US,---,"$1,398,692.75 ","114,179"
CURV,Torrid Holdings Inc,<0.01%,Apparel Retail,US,---,"$1,391,316.50 ","795,038"
BWEN,Broadwind Inc,<0.01%,Heavy Electrical Equipment,US,---,"$1,387,098.30 ","660,523"
CVM,CEL-SCI Corp,<0.01%,Biotechnology,US,---,"$1,375,390.80 ","149,499"
XBIT,XBiotech Inc,<0.01%,Biotechnology,US,---,"$1,375,265.22 ","517,017"
PLCE,Children's Place Inc/The,<0.01%,Apparel Retail,US,---,"$1,351,420.20 ","217,620"
OPAL,OPAL Fuels Inc,<0.01%,Oil & Gas Refining & Marketing,US,---,"$1,350,830.80 ","614,014"
IRD,Opus Genetics Inc,<0.01%,Biotechnology,US,---,"$1,348,932.75 ","817,535"
PTHS,Pelthos Therapeutics Inc,<0.01%,Biotechnology,US,---,"$1,338,848.00 ","47,816"
INUV,Inuvo Inc,<0.01%,Application Software,US,---,"$1,324,961.82 ","377,482"
CNVS,Cineverse Corp,<0.01%,Movies & Entertainment,US,---,"$1,316,908.32 ","391,937"
FLUX,Flux Power Holdings Inc,<0.01%,Electrical Components & Equipment,US,---,"$1,315,645.98 ","351,777"
SLND,Southland Holdings Inc,<0.01%,Construction & Engineering,US,---,"$1,314,520.35 ","306,415"
RNXT,RenovoRx Inc,<0.01%,Biotechnology,US,---,"$1,313,425.11 ","1,034,193"
WWR,Westwater Resources Inc,<0.01%,Electrical Components & Equipment,US,---,"$1,312,992.26 ","1,383,991"
OWLT,Owlet Inc,<0.01%,Health Care Equipment,US,---,"$1,311,977.59 ","154,897"
ASRV,AmeriServ Financial Inc,<0.01%,Regional Banks,US,---,"$1,300,145.40 ","448,326"
ZDGE,Zedge Inc,<0.01%,Interactive Media & Services,US,---,"$1,297,257.63 ","445,793"
FKWL,Franklin Wireless Corp,<0.01%,Communications Equipment,US,---,"$1,292,086.00 ","296,350"
